Title,loading_0025,
QuestionText,1210 What is the best source for sUAS performance data and information?,
Points,1,
Difficulty,1,
Option,100,Manufacturer publications
Option,0,Pilot reports
Option,0,Estimates based upon similar systems.
NewQuestion,MC,
Title,loading_0026,
QuestionText,"1196 (Refer to Figure 2.) If an sUAS weighs 10 pounds, what approximate weight would the sUAS structure be required to support during a 60 degree banked turn while maintaining altitude?",
Points,1,
Difficulty,1,
Option,0,10.15 pounds
Option,0,30 pounds
Option,100,20 pounds
NewQuestion,MC,
Title,loading_0027,
QuestionText,"1254 Who is responsible for determining whether a pilot is fit to fly for a particular flight, even though he or she holds a current medical certificate?",
Points,1,
Difficulty,1,
Option,0,The FAA.
Option,0,The medical examiner.
Option,100,The pilot.
NewQuestion,MC,
Title,loading_0028,
QuestionText,"1255 You are a remote pilot-in-command for a co-op energy service provider. You plan to use your unmanned aircraft to inspect powerlines in the remote area 15 hours away from your home office. After the drive, fatigue impacts your abilities to complete your assignment on time. What kind of fatigue is this?",
Points,1,
Difficulty,1,
Option,0,Chronic fatigue.
Option,100,Acute fatigue.
Option,0,Exhaustion.
NewQuestion,MC,
Title,loading_0029,
QuestionText,1302 What can affect your performance?,
Points,1,
Difficulty,1,
Option,0,Prescription medications.
Option,0,Over-the-counter medications.
Option,100,Over-the-counter and prescribed medications.
NewQuestion,MC,
Title,loading_0031,
QuestionText,"1257 By duration, fatigue is classified as which two types?",
Points,1,
Difficulty,1,
Option,0,Physiological or psychological
Option,0,Physical or mental
Option,100,Acute or chronic
NewQuestion,MC,
Title,loading_0032,
QuestionText,1258 Fatigue is one of the most treacherous hazards to flight safety,
Points,1,
Difficulty,1,
Option,0,because it results in slow performance.
Option,100,as it may not be apparent until serious errors are made.
Option,0,as it may be a function of physical robustness or mental acuity.
NewQuestion,MC,
Title,loading_0033,
QuestionText,"1259 When a stressful situation is encountered in flight, an abnormal increase in the volume of air breathed in and out can cause a condition known as",
Points,1,
Difficulty,1,
Option,100,hyperventilation.
Option,0,aerosinusitis.
Option,0,aerotitis.
NewQuestion,MC,
Title,loading_0034,
QuestionText,1260 Which would most likely result in hyperventilation?,
Points,1,
Difficulty,1,
Option,100,"Emotional tension, anxiety, or fear."
Option,0,The excessive consumption of alcohol.
Option,0,An extremely slow rate of breathing and insufficient oxygen.
NewQuestion,MC,
Title,loading_0037,
QuestionText,1273 Excessive breathing during hyperventilation can produce which change in the blood?,
Points,1,
Difficulty,1,
Option,0,Insufficient oxygen.
Option,0,Excessive carbon monoxide.
Option,100,Insufficient carbon dioxide.
NewQuestion,MC,
Title,loading_0038,
QuestionText,"1263 When setting up the location of the control station and placement of crewmembers for an afternoon flight, which of the following would be most appropriate for ensuring that vision is not impaired by the environment?",
Points,1,
Difficulty,1,
Option,100,The operation should be set up so that the remote PIC and crewmembers can face east.
Option,0,The operation should be set up so that the remote PIC and crewmembers can face west.
Option,0,The operation should be set up so that the remote PIC and crewmembers are facing any reflective objects in the area.
NewQuestion,MC,
Title,loading_0039,
QuestionText,1297 What can help a pilot mitigate stress?,
Points,1,
Difficulty,1,
Option,0,Ignoring signs of stress.
Option,100,Reducing avoidable stressors and using healthy coping strategies.
Option,0,Increasing workload when already fatigued.
NewQuestion,MC,
Title,loading_0040,
QuestionText,"1264 When setting up the location of the control station and placement of crewmembers for a flight over snowy terrain, which of the following would be most appropriate for ensuring that vision is not impaired by the environment?",
Points,1,
Difficulty,1,
Option,0,The operation should be set up so that the crewmembers are the most comfortable.
Option,100,The operation should be set up so that the crewmembers will experience the minimum glare from the snow.
Option,0,The operation should be set up so that the crewmembers face the direction in which the terrain most closely matches the color of the unmanned aircraft.
NewQuestion,MC,
Title,loading_0041,
QuestionText,"1351 When preparing for a night flight, what should a small unmanned aircraft pilot be aware of after assembling and conducting a preflight of an aircraft while using a bright flashlight or work light?",
Points,1,
Difficulty,1,
Option,0,"Once adapted to darkness, a person’s eyes are relatively immune to bright lights."
Option,100,It takes approximately 30 minutes for a person’s eyes to fully adapt to darkness.
Option,0,The person should use a flashlight equipped with LED lights to facilitate their night vision.
NewQuestion,MC,
Title,loading_0042,
QuestionText,1265 Which of the following sources of information should you consult first when determining what maintenance should be performed on an sUAS or its components?,
Points,1,
Difficulty,1,
Option,0,Local pilot best practices.
Option,0,14 CFR Part 107.
Option,100,Manufacturer guidance.
NewQuestion,MC,
Title,loading_0043,
QuestionText,1266 Under what condition should the operator of a small unmanned aircraft establish a scheduled maintenance protocol?,
Points,1,
Difficulty,1,
Option,100,When the manufacturer does not provide a maintenance schedule.
Option,0,"When the FAA requires you to, following an accident."
Option,0,Small unmanned aircraft systems do not require maintenance.
NewQuestion,MC,
Title,loading_0044,
QuestionText,1336 What action should the operator of an sUAS take if the manufacturer does not provide information about scheduled maintenance?,
Points,1,
Difficulty,1,
Option,0,The operator should contact the FAA for a minimum equipment list.
Option,100,The operator should establish a scheduled maintenance protocol.
Option,0,The operator should contact the NTSB for component failure rates for their specific sUAS.
NewQuestion,MC,
Title,loading_0045,
QuestionText,1267 Scheduled maintenance should be performed in accordance with the,
Points,1,
Difficulty,1,
Option,100,Manufacturer’s suggested procedures.
Option,0,Stipulations in 14 CFR Part 43.
Option,0,Contractor requirements.
NewQuestion,MC,
Title,loading_0046,
QuestionText,1268 The responsibility for ensuring that an sUAS is maintained in an airworthy condition is primarily that of the,
Points,1,
Difficulty,1,
Option,100,Remote pilot-in-command.
Option,0,owner or operator.
Option,0,mechanic who performs the work.
NewQuestion,MC,
Title,loading_0047,
QuestionText,1269 When should the battery for a small unmanned aircraft be replaced?,
Points,1,
Difficulty,1,
Option,0,Once recharged more than 10 times in the preceding 30 days.
Option,100,"Per the guidelines of the sUAS manufacturer or the battery manufacturer, whichever is more restrictive."
Option,0,"Per the guidelines of the sUAS manufacturer or the battery manufacturer, whichever is least restrictive."
